Input_NB,Berkeley BART,Output_NB,Input_SB,Berkeley BART,Output_SB
5:21 AM,6:04 AM,6:17 AM,5:15 AM,5:32 AM,6:10 AM
5:36 AM,6:19 AM,6:32 AM,5:30 AM,5:47 AM,6:25 AM
5:51 AM,6:34 AM,6:47 AM,5:46 AM,6:03 AM,6:41 AM
6:06 AM,6:49 AM,7:02 AM,5:57 AM,6:16 AM,6:56 AM
6:22 AM,7:05 AM,7:18 AM,6:18 AM,6:37 AM,7:17 AM
6:37 AM,7:27 AM,7:40 AM,6:34 AM,6:53 AM,7:33 AM
6:53 AM,7:43 AM,7:56 AM,6:50 AM,7:09 AM,7:49 AM
7:08 AM,7:58 AM,8:11 AM,7:05 AM,7:24 AM,8:04 AM
7:20 AM,8:10 AM,8:23 AM,7:20 AM,7:39 AM,8:19 AM
7:29 AM,8:19 AM,8:32 AM,7:23 AM,7:47 AM,8:37 AM
7:45 AM,8:39 AM,8:54 AM,7:38 AM,8:02 AM,8:52 AM
8:01 AM,8:55 AM,9:10 AM,7:53 AM,8:17 AM,9:07 AM
8:16 AM,9:10 AM,9:25 AM,8:08 AM,8:32 AM,9:22 AM
8:31 AM,9:25 AM,9:40 AM,8:23 AM,8:47 AM,9:37 AM
8:49 AM,9:43 AM,9:58 AM,8:38 AM,9:02 AM,9:52 AM
9:04 AM,9:58 AM,10:13 AM,8:55 AM,9:19 AM,10:05 AM
9:19 AM,10:13 AM,10:28 AM,9:10 AM,9:34 AM,10:20 AM
9:34 AM,10:27 AM,10:43 AM,9:25 AM,9:49 AM,10:35 AM
9:49 AM,10:42 AM,10:58 AM,9:40 AM,10:04 AM,10:50 AM
10:04 AM,10:57 AM,11:13 AM,9:54 AM,10:18 AM,11:04 AM
10:17 AM,11:10 AM,11:26 AM,10:10 AM,10:34 AM,11:20 AM
10:32 AM,11:25 AM,11:41 AM,10:25 AM,10:49 AM,11:35 AM
10:47 AM,11:40 AM,11:56 AM,10:40 AM,11:04 AM,11:50 AM
11:02 AM,11:55 AM,12:11 PM,10:55 AM,11:19 AM,12:05 PM
11:16 AM,12:09 PM,12:25 PM,11:10 AM,11:34 AM,12:20 PM
11:32 AM,12:25 PM,12:41 PM,11:25 AM,11:49 AM,12:35 PM
11:47 AM,12:40 PM,12:56 PM,11:39 AM,12:02 PM,12:51 PM
12:02 PM,12:55 PM,1:11 PM,11:54 AM,12:17 PM,1:06 PM
12:17 PM,1:10 PM,1:26 PM,12:09 PM,12:32 PM,1:21 PM
12:32 PM,1:25 PM,1:41 PM,12:24 PM,12:47 PM,1:36 PM
12:47 PM,1:40 PM,1:56 PM,12:38 PM,1:01 PM,1:50 PM
1:03 PM,1:56 PM,2:12 PM,12:54 PM,1:17 PM,2:06 PM
1:18 PM,2:11 PM,2:27 PM,1:09 PM,1:32 PM,2:21 PM
1:33 PM,2:28 PM,2:45 PM,1:24 PM,1:47 PM,2:36 PM
1:48 PM,2:43 PM,3:00 PM,1:39 PM,2:02 PM,2:51 PM
2:02 PM,2:57 PM,3:14 PM,1:54 PM,2:17 PM,3:06 PM
2:18 PM,3:13 PM,3:30 PM,2:09 PM,2:32 PM,3:21 PM
2:33 PM,3:28 PM,3:45 PM,2:24 PM,2:48 PM,3:40 PM
2:48 PM,3:43 PM,4:00 PM,2:39 PM,3:03 PM,3:55 PM
3:03 PM,3:58 PM,4:15 PM,2:53 PM,3:17 PM,4:09 PM
3:18 PM,4:13 PM,4:30 PM,3:06 PM,3:30 PM,4:22 PM
3:33 PM,4:31 PM,4:50 PM,3:19 PM,3:43 PM,4:35 PM
3:52 PM,4:50 PM,5:09 PM,3:35 PM,3:59 PM,4:51 PM
4:07 PM,5:05 PM,5:24 PM,3:51 PM,4:16 PM,5:10 PM
4:21 PM,5:19 PM,5:38 PM,4:06 PM,4:31 PM,5:25 PM
4:34 PM,5:32 PM,5:51 PM,4:22 PM,4:47 PM,5:41 PM
4:47 PM,5:43 PM,6:00 PM,4:38 PM,5:03 PM,5:57 PM
5:03 PM,5:59 PM,6:16 PM,4:53 PM,5:18 PM,6:12 PM
5:22 PM,6:18 PM,6:35 PM,5:09 PM,5:34 PM,6:28 PM
5:37 PM,6:33 PM,6:50 PM,5:25 PM,5:50 PM,6:44 PM
5:53 PM,6:49 PM,7:06 PM,5:41 PM,6:05 PM,6:56 PM
6:09 PM,7:05 PM,7:22 PM,6:03 PM,6:27 PM,7:18 PM
6:24 PM,7:20 PM,7:37 PM,6:15 PM,6:39 PM,7:30 PM
6:40 PM,7:30 PM,7:45 PM,6:31 PM,6:55 PM,7:46 PM
6:56 PM,7:46 PM,8:01 PM,6:48 PM,7:10 PM,7:56 PM
7:08 PM,7:58 PM,8:13 PM,7:03 PM,7:25 PM,8:11 PM
7:30 PM,8:20 PM,8:35 PM,7:22 PM,7:44 PM,8:30 PM
7:42 PM,8:32 PM,8:47 PM,7:42 PM,8:04 PM,8:50 PM
8:08 PM,8:55 PM,9:10 PM,8:02 PM,8:24 PM,9:10 PM
8:23 PM,9:10 PM,9:25 PM,8:26 PM,8:48 PM,9:31 PM
8:42 PM,9:29 PM,9:44 PM,8:49 PM,9:11 PM,9:54 PM
9:02 PM,9:49 PM,10:04 PM,9:07 PM,9:29 PM,10:12 PM
9:22 PM,10:09 PM,10:24 PM,9:27 PM,9:49 PM,10:32 PM
9:43 PM,10:30 PM,10:45 PM,9:47 PM,10:09 PM,10:52 PM
10:06 PM,10:48 PM,11:01 PM,10:07 PM,10:29 PM,11:12 PM
10:36 PM,11:18 PM,11:31 PM,10:37 PM,10:59 PM,11:42 PM
11:08 PM,11:50 PM,12:03 AM,11:07 PM,11:29 PM,12:12 AM
11:38 PM,12:20 AM,12:33 AM,11:37 PM,11:59 PM,12:42 AM
