7 Northbound,,7 Southbound,
Berkeley BART,Del Norte BART,Del Norte BART,Berkeley BART
6:00 AM,6:32 AM,6:10 AM,6:44 AM
6:37 AM,7:09 AM,6:45 AM,7:19 AM
7:17 AM,7:50 AM,7:15 AM,7:50 AM
7:52 AM,8:25 AM,8:05 AM,8:40 AM
8:33 AM,9:06 AM,8:45 AM,9:20 AM
9:15 AM,9:48 AM,9:25 AM,10:00 AM
9:54 AM,10:27 AM,10:05 AM,10:40 AM
10:34 AM,11:07 AM,10:45 AM,11:20 AM
11:14 AM,11:47 AM,11:25 AM,12:00 PM
11:54 AM,12:27 PM,12:05 PM,12:40 PM
12:34 PM,1:07 PM,12:45 PM,1:20 PM
1:14 PM,1:47 PM,1:25 PM,2:00 PM
1:55 PM,2:28 PM,2:05 PM,2:40 PM
2:35 PM,3:08 PM,2:45 PM,3:20 PM
3:16 PM,3:49 PM,3:25 PM,4:00 PM
3:56 PM,4:29 PM,4:05 PM,4:40 PM
4:36 PM,5:09 PM,4:45 PM,5:20 PM
5:17 PM,5:50 PM,5:25 PM,6:00 PM
5:57 PM,6:30 PM,6:06 PM,6:40 PM
6:37 PM,7:09 PM,6:46 PM,7:20 PM
7:17 PM,7:49 PM,7:26 PM,8:00 PM
7:54 PM,8:26 PM,8:00 PM,8:34 PM
